ticker,year,notable_models
AAPL,2018,1
AAPL,2021,1
AAPL,2022,1
AAPL,2023,2
AAPL,2024,10
AAPL,2025,1
AMZN,2019,6
AMZN,2021,2
AMZN,2022,2
AMZN,2023,4
AMZN,2024,7
AMZN,2025,6
GOOGL,2015,11
GOOGL,2016,21
GOOGL,2017,22
GOOGL,2018,29
GOOGL,2019,32
GOOGL,2020,28
GOOGL,2021,39
GOOGL,2022,38
GOOGL,2023,50
GOOGL,2024,62
GOOGL,2025,59
META,2015,2
META,2016,12
META,2017,6
META,2018,5
META,2019,23
META,2020,16
META,2021,19
META,2022,38
META,2023,25
META,2024,29
META,2025,9
MSFT,2015,6
MSFT,2016,4
MSFT,2017,4
MSFT,2018,3
MSFT,2019,9
MSFT,2020,8
MSFT,2021,21
MSFT,2022,14
MSFT,2023,22
MSFT,2024,36
MSFT,2025,13
NVDA,2017,2
NVDA,2018,1
NVDA,2019,6
NVDA,2020,1
NVDA,2021,15
NVDA,2022,6
NVDA,2023,6
NVDA,2024,28
NVDA,2025,45
